Gene	testCode	geneCaptExon	meanDep	maxDep	minDep	10Xcover	20Xcover	50Xcover	100Xcover	200Xcover	500Xcover	1000Xcover
FXR1	C1021	58.8235%	439	543	287	100.00%	100.00%	100.00%	100.00%	100.00%	26.67%	0.00%
CALR	NA	24.8756%	383	440	301	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CCNA1	C1021	53.5714%	446	525	328	100.00%	100.00%	100.00%	100.00%	100.00%	14.17%	0.00%
CDK12	C1021,P1021	100%	678	931	200	100.00%	100.00%	100.00%	100.00%	99.96%	90.51%	0.00%
MAP3K13	C1021	25.2632%	448	529	331	100.00%	100.00%	100.00%	100.00%	100.00%	30.83%	0.00%
CREBBP	C1021,Lym79,Lym93	100.055%	612	876	156	100.00%	100.00%	100.00%	100.00%	99.81%	80.52%	0.00%
FAS	C1021,Lym93	100%	549	866	332	100.00%	100.00%	100.00%	100.00%	100.00%	63.03%	0.00%
EWSR1	C1021	47.4308%	436	550	276	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
SLC1A2	C1021	61.5385%	437	550	311	100.00%	100.00%	100.00%	100.00%	100.00%	28.33%	0.00%
HDAC1	C1021,P1021	100%	539	727	298	100.00%	100.00%	100.00%	100.00%	100.00%	62.47%	0.00%
PCK1	C1021	100%	558	792	318	100.00%	100.00%	100.00%	100.00%	100.00%	71.78%	0.00%
CSF3R	C1021	49.3827%	349	479	235	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TUSC3	C1021	100%	476	548	373	100.00%	100.00%	100.00%	100.00%	100.00%	46.22%	0.00%
ZFPM2	C1021	4.81541%	415	503	317	100.00%	100.00%	100.00%	100.00%	100.00%	0.83%	0.00%
RPGR	C1021	7.034%	226	277	169	100.00%	100.00%	100.00%	100.00%	70.83%	0.00%	0.00%
SF1	C1021,P1021	65.2174%	498	589	372	100.00%	100.00%	100.00%	100.00%	100.00%	52.50%	0.00%
VTCN1	NA	56.9307%	396	490	276	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ARAF	C1021,P1021	100%	270	384	127	100.00%	100.00%	100.00%	100.00%	87.85%	0.00%	0.00%
FCGR1A	C1021	42.1053%	389	449	308	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IKBKE	C1021,P1021	100%	527	761	269	100.00%	100.00%	100.00%	100.00%	100.00%	49.06%	0.00%
ROS1	C1021,DG11,E59,P1021,E73	102.868%	643	948	297	100.00%	100.00%	100.00%	100.00%	100.00%	87.54%	0.00%
RARA	C1021,P1021	100%	551	737	237	100.00%	100.00%	100.00%	100.00%	100.00%	73.44%	0.00%
ANKRD30A	C1021,P1021	100%	604	731	446	100.00%	100.00%	100.00%	100.00%	100.00%	91.30%	0.00%
TUBA3C	C1021,P1021	17.6211%	308	383	206	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TP53	C1021,DB16,DC16,DG11,E59,Lym79,Lym93,P1021,E73,H41,H62,HB23,HD31,HG15,HP16,FC59,FH44,H68,HBO28,HC22,HD32,HPro6,HR14,MC58,MH43,H54	100%	591	786	296	100.00%	100.00%	100.00%	100.00%	100.00%	75.25%	0.00%
FNDC4	C1021,P1021	96%	410	495	287	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
NFE2L2	C1021,P1021	99.56%	738	955	298	100.00%	100.00%	100.00%	100.00%	100.00%	95.87%	0.00%
SGK1	Lym79,Lym93,P1021	100%	390	438	328	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
KLF4	C1021	72.7273%	281	383	133	100.00%	100.00%	100.00%	100.00%	88.33%	0.00%	0.00%
RELN	C1021,Lym79,Lym93,P1021	49.7925%	468	565	334	100.00%	100.00%	100.00%	100.00%	100.00%	44.17%	0.00%
NDUFA13	C1021	79.5222%	356	455	262	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CDH1	C1021,P1021,H41,H62,HB23,HD31,HG15,FC59,FH44,H68,HBO28,HD32,MC58,MH43,H54	100%	611	822	277	100.00%	100.00%	100.00%	100.00%	100.00%	87.43%	0.00%
GMPS	C1021	95.2381%	413	469	338	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PRX	C1021	2.99625%	405	519	247	100.00%	100.00%	100.00%	100.00%	100.00%	9.17%	0.00%
CDKN2B	C1021,Lym79,Lym93,P1021	100%	601	724	353	100.00%	100.00%	100.00%	100.00%	100.00%	90.21%	0.00%
CDKN2C	C1021	100%	662	799	547	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%
CDKN2A	C1021,DB16,E59,Lym79,Lym93,P1021,E73,H41,H62,HD31,HP16,FC59,FH44,H68,HD32,MC58,MH43,H54	100%	614	721	280	100.00%	100.00%	100.00%	100.00%	100.00%	95.57%	0.00%
PABPC3	C1021	6.32911%	360	427	270	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EXT2	C1021,H62,H68	100%	622	892	324	100.00%	100.00%	100.00%	100.00%	100.00%	83.78%	0.00%
EXT1	C1021,H62,H68	100%	600	812	209	100.00%	100.00%	100.00%	100.00%	100.00%	77.58%	0.00%
BARD1	C1021,H62,HB23,FC59,FH44,H68,HBO28,MC58,MH43,H54	100%	651	917	317	100.00%	100.00%	100.00%	100.00%	100.00%	85.97%	0.00%
ACIN1	C1021	77.344%	558	845	203	100.00%	100.00%	100.00%	100.00%	100.00%	64.88%	0.00%
LPP	C1021	67.0391%	421	501	314	100.00%	100.00%	100.00%	100.00%	100.00%	0.83%	0.00%
KLK1	C1021,P1021	76.9231%	385	465	262	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RINT1	C1021,FC59,FH44,H68,HBO28,MC58,MH43	100%	609	794	395	100.00%	100.00%	100.00%	100.00%	100.00%	89.93%	0.00%
TPR	C1021	57.4163%	445	516	316	100.00%	100.00%	100.00%	100.00%	100.00%	12.50%	0.00%
CHFR	C1021	75%	396	456	317	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SYNCRIP	C1021	28.6104%	477	597	315	100.00%	100.00%	100.00%	100.00%	100.00%	47.62%	0.00%
ZC3H11A	C1021	100%	478	554	344	100.00%	100.00%	100.00%	100.00%	100.00%	46.61%	0.00%
WDTC1	C1021,P1021	68.5714%	409	515	281	100.00%	100.00%	100.00%	100.00%	100.00%	11.67%	0.00%
FN1	C1021	66.2983%	445	539	328	100.00%	100.00%	100.00%	100.00%	100.00%	25.00%	0.00%
ARID1B	C1021,Lym93	98.6963%	593	862	115	100.00%	100.00%	100.00%	100.00%	99.63%	74.77%	0.00%
ARID1A	C1021,Lym79,Lym93	102.625%	633	868	286	100.00%	100.00%	100.00%	100.00%	100.00%	90.24%	0.00%
CSF1	C1021	11.7073%	309	370	229	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
C1QA	C1021,P1021	69.2412%	624	829	363	100.00%	100.00%	100.00%	100.00%	100.00%	89.26%	0.00%
VIM	C1021	54.2986%	490	617	334	100.00%	100.00%	100.00%	100.00%	100.00%	49.17%	0.00%
HCN1	C1021,P1021	13.4831%	318	412	196	100.00%	100.00%	100.00%	100.00%	90.00%	0.00%	0.00%
LRRC7	C1021,P1021	16.5241%	557	731	330	100.00%	100.00%	100.00%	100.00%	100.00%	68.71%	0.00%
GNG2	C1021	93.0233%	403	498	289	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
HSD3B1	C1021	14.7783%	324	398	227	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MTRR	C1021	77.4194%	393	512	225	100.00%	100.00%	100.00%	100.00%	100.00%	5.42%	0.00%
PKHD1	C1021,P1021	7.46269%	382	458	283	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ACTB	C1021	83.3333%	354	432	274	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ELMO1	C1021	73.1707%	401	478	297	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TYR	C1021	55.2995%	428	528	301	100.00%	100.00%	100.00%	100.00%	100.00%	18.33%	0.00%
PAK3	C1021	90.9091%	263	304	207	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
OR6F1	C1021,P1021	12.945%	453	566	303	100.00%	100.00%	100.00%	100.00%	100.00%	33.33%	0.00%
FOXP1	C1021	100%	513	695	275	100.00%	100.00%	100.00%	100.00%	100.00%	54.93%	0.00%
NFATC4	C1021	18.4615%	344	415	252	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FUS	C1021	80.6452%	566	694	444	100.00%	100.00%	100.00%	100.00%	100.00%	65.35%	0.00%
COPS2	C1021	68.5714%	375	467	268	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FUBP1	C1021,P1021	100%	576	761	335	100.00%	100.00%	100.00%	100.00%	100.00%	75.50%	0.00%
NCSTN	C1021	56.338%	433	527	337	100.00%	100.00%	100.00%	100.00%	100.00%	10.00%	0.00%
NOS3	C1021	76.1905%	341	443	216	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
SMARCE1	C1021	74.1742%	579	803	305	100.00%	100.00%	100.00%	100.00%	100.00%	66.31%	0.00%
CNTN5	C1021,P1021	54.0541%	659	780	506	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%
MNX1	C1021	33.8983%	412	515	292	100.00%	100.00%	100.00%	100.00%	100.00%	10.00%	0.00%
DHX35	C1021	56.872%	418	507	307	100.00%	100.00%	100.00%	100.00%	100.00%	3.33%	0.00%
MYCN	C1021	94.4086%	581	775	318	100.00%	100.00%	100.00%	100.00%	100.00%	68.99%	0.00%
POM121	C1021	7.11744%	338	438	228	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CYP2D6	C1021,DB16,E59,E73	72.423%	695	1041	200	100.00%	100.00%	100.00%	100.00%	99.90%	83.98%	2.32%
U2AF1	C1021,P1021	97.787%	554	790	335	100.00%	100.00%	100.00%	100.00%	100.00%	65.59%	0.00%
CCNE1	C1021,P1021	100%	592	862	346	100.00%	100.00%	100.00%	100.00%	100.00%	71.62%	0.00%
MKL1	C1021	68.8976%	559	651	345	100.00%	100.00%	100.00%	100.00%	100.00%	80.00%	0.00%
FOXA2	C1021	9.1954%	393	490	261	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
VEZF1	C1021,P1021	28.0374%	413	499	316	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CAMTA1	C1021	6.49702%	416	517	293	100.00%	100.00%	100.00%	100.00%	100.00%	7.50%	0.00%
ANGPT1	C1021	51.5021%	392	482	261	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FAM135B	C1021,P1021	58.2524%	472	570	316	100.00%	100.00%	100.00%	100.00%	100.00%	49.17%	0.00%
TEC	C1021	67.6136%	465	560	351	100.00%	100.00%	100.00%	100.00%	100.00%	39.17%	0.00%
IGF2	C1021	80.5369%	377	461	287	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TCF4	C1021,P1021	73.6196%	337	393	250	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IGF1	NA	60.4396%	463	566	321	100.00%	100.00%	100.00%	100.00%	100.00%	37.27%	0.00%
BUB1	C1021	67.4157%	475	547	397	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
TCF3	C1021,Lym79,Lym93	91.6279%	257	381	127	100.00%	100.00%	100.00%	100.00%	78.68%	0.00%	0.00%
TP63	C1021,Lym79,Lym93	56.6929%	465	654	255	100.00%	100.00%	100.00%	100.00%	100.00%	40.56%	0.00%
RUNX2	C1021	68.9655%	489	585	357	100.00%	100.00%	100.00%	100.00%	100.00%	44.17%	0.00%
MAF	NA	99.1087%	440	739	2	97.30%	95.96%	92.99%	90.30%	85.00%	51.48%	0.00%
SPRR3	C1021	23.5294%	367	415	299	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ASTN1	C1021,P1021	80%	429	515	315	100.00%	100.00%	100.00%	100.00%	100.00%	15.00%	0.00%
SHH	C1021	40%	281	355	171	100.00%	100.00%	100.00%	100.00%	94.17%	0.00%	0.00%
ZNF804B	C1021,P1021	49.6183%	476	529	376	100.00%	100.00%	100.00%	100.00%	100.00%	45.45%	0.00%
ZBTB16	C1021	9.46372%	406	514	274	100.00%	100.00%	100.00%	100.00%	100.00%	5.83%	0.00%
EPOR	C1021	83.8082%	537	721	226	100.00%	100.00%	100.00%	100.00%	100.00%	66.47%	0.00%
IRF2	C1021	100%	591	875	158	100.00%	100.00%	100.00%	100.00%	99.43%	72.97%	0.00%
MGA	C1021	57.971%	445	544	319	100.00%	100.00%	100.00%	100.00%	100.00%	27.50%	0.00%
DNAH6	C1021	68.9209%	424	626	259	100.00%	100.00%	100.00%	100.00%	100.00%	21.88%	0.00%
IRF6	C1021	58.5366%	337	396	273	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IRF4	C1021,Lym79,Lym93	33.8983%	437	516	360	100.00%	100.00%	100.00%	100.00%	100.00%	8.33%	0.00%
CLDN18	C1021	54.5455%	364	446	259	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MEF2C	C1021	64.1711%	381	457	289	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MEF2B	Lym79,Lym93	100%	463	683	29	100.00%	100.00%	96.86%	91.39%	89.87%	51.39%	0.00%
SNX29	C1021	31.9149%	447	509	366	100.00%	100.00%	100.00%	100.00%	100.00%	10.00%	0.00%
NSD1	C1021	100%	697	934	294	100.00%	100.00%	100.00%	100.00%	100.00%	92.38%	0.00%
MCM3	C1021	25.9615%	373	421	326	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
PCDH18	C1021	73.1707%	416	498	323	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
BTK	C1021,Lym79,Lym93,P1021	100%	275	398	125	100.00%	100.00%	100.00%	100.00%	91.44%	0.00%	0.00%
CD74	C1021,E73	102.26%	664	762	378	100.00%	100.00%	100.00%	100.00%	100.00%	95.55%	0.00%
PDGFRB	C1021,Lym79,Lym93,P1021	99.8193%	542	842	251	100.00%	100.00%	100.00%	100.00%	100.00%	65.45%	0.00%
PDGFRA	C1021,DG11,E59,P1021,E73,H62,HD31,HG15,FC59,FH44,H68,HD32,MC58,MH43,H54	100%	556	849	192	100.00%	100.00%	100.00%	100.00%	99.82%	66.80%	0.00%
BTLA	C1021	38.0952%	460	569	327	100.00%	100.00%	100.00%	100.00%	100.00%	35.00%	0.00%
HDAC4	C1021,P1021	82.3464%	506	791	250	100.00%	100.00%	100.00%	100.00%	100.00%	49.84%	0.00%
HDAC9	C1021	81.0811%	459	533	348	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
CSF1R	C1021,P1021	99.4861%	558	795	257	100.00%	100.00%	100.00%	100.00%	100.00%	71.35%	0.00%
MYO3A	C1021,P1021	100%	467	555	332	100.00%	100.00%	100.00%	100.00%	100.00%	39.82%	0.00%
ATM	C1021,DB16,E59,Lym79,Lym93,P1021,E73,C1021,H41,H62,HB23,HD31,HP16,FC59,FH44,H68,HBO28,HC22,HD32,MC58,MH43,H54	102.508%	605	902	294	100.00%	100.00%	100.00%	100.00%	100.00%	82.84%	0.00%
RFC1	C1021	30.2267%	438	517	310	100.00%	100.00%	100.00%	100.00%	100.00%	15.83%	0.00%
ZFHX3	C1021	70.2599%	585	906	181	100.00%	100.00%	100.00%	100.00%	99.92%	70.37%	0.00%
CSMD3	C1021,P1021	75%	432	521	315	100.00%	100.00%	100.00%	100.00%	100.00%	10.83%	0.00%
CSMD1	C1021,P1021	68.9655%	357	428	270	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ATR	C1021,P1021	100%	561	829	257	100.00%	100.00%	100.00%	100.00%	100.00%	76.42%	0.00%
FANCD2	C1021	99.615%	528	1055	290	100.00%	100.00%	100.00%	100.00%	100.00%	50.70%	0.50%
TRPC5	C1021,P1021	37.1517%	215	250	140	100.00%	100.00%	100.00%	100.00%	80.83%	0.00%	0.00%
TXNIP	C1021	48%	458	560	322	100.00%	100.00%	100.00%	100.00%	100.00%	34.17%	0.00%
BRIP1	C1021,E73,H41,H62,HB23,FC59,FH44,H68,HBO28,H54	100%	649	921	352	100.00%	100.00%	100.00%	100.00%	100.00%	91.38%	0.00%
FLT4	C1021,P1021	100%	539	790	205	100.00%	100.00%	100.00%	100.00%	100.00%	61.33%	0.00%
GABRA6	C1021	43.4783%	449	545	330	100.00%	100.00%	100.00%	100.00%	100.00%	28.33%	0.00%
FLT3	C1021,E59,P1021,E73	100%	578	813	244	100.00%	100.00%	100.00%	100.00%	100.00%	73.15%	0.00%
FLT1	C1021,P1021	100%	585	928	293	100.00%	100.00%	100.00%	100.00%	100.00%	68.32%	0.00%
MRE11A	C1021,H62,HB23,FC59,FH44,H68,HBO28,MC58,MH43,H54	100%	552	776	315	100.00%	100.00%	100.00%	100.00%	100.00%	67.38%	0.00%
CYP1B1	C1021	20.3735%	279	334	197	100.00%	100.00%	100.00%	100.00%	96.67%	0.00%	0.00%
SLX4	C1021,FC59,FH44,H68,HBO28,MC58,MH43	100%	603	860	246	100.00%	100.00%	100.00%	100.00%	100.00%	83.91%	0.00%
FAM157B	C1021,P1021	79.4702%	349	454	222	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
MAPK3	C1021,P1021	73.4634%	473	664	171	100.00%	100.00%	100.00%	100.00%	97.28%	48.14%	0.00%
MECOM	C1021	8.84304%	413	496	325	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
DNAJB1	NA	52.1327%	316	394	195	100.00%	100.00%	100.00%	100.00%	98.18%	0.00%	0.00%
MYH9	C1021,P1021	68.9655%	418	501	280	100.00%	100.00%	100.00%	100.00%	100.00%	0.83%	0.00%
TPM3	C1021	100%	542	579	497	100.00%	100.00%	100.00%	100.00%	100.00%	97.18%	0.00%
RPS6KB2	NA	100%	415	471	333	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FANCG	C1021	100%	567	847	134	100.00%	100.00%	100.00%	100.00%	99.42%	72.86%	0.00%
FANCF	NA	100%	683	784	539	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%
FANCE	NA	100%	559	825	275	100.00%	100.00%	100.00%	100.00%	100.00%	66.87%	0.00%
FANCC	C1021,P1021,FC59,FH44,H68,HBO28,MC58,MH43	100%	519	697	267	100.00%	100.00%	100.00%	100.00%	100.00%	61.50%	0.00%
TBX15	C1021,P1021	15.2866%	327	410	218	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FANCA	C1021	100%	513	762	248	100.00%	100.00%	100.00%	100.00%	100.00%	52.94%	0.00%
FANCM	C1021	100%	555	828	200	100.00%	100.00%	100.00%	100.00%	99.98%	69.14%	0.00%
FANCL	NA	100%	437	771	224	100.00%	100.00%	100.00%	100.00%	100.00%	15.04%	0.00%
CADM2	C1021,P1021	70.1754%	409	467	313	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
FBXW7	C1021,DB16,DC16,E59,Lym79,Lym93,P1021,E73	102.213%	656	919	360	100.00%	100.00%	100.00%	100.00%	100.00%	93.01%	0.00%
KRTAP5-5	C1021,P1021	16.8067%	228	340	141	100.00%	100.00%	100.00%	100.00%	57.50%	0.00%	0.00%
TRIO	C1021,P1021	80.1105%	479	590	304	100.00%	100.00%	100.00%	100.00%	100.00%	51.55%	0.00%
NUP107	C1021	100%	349	404	277	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TET1	NA	5.68451%	364	447	273	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
GKN2	C1021,P1021	76.4331%	367	441	270	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TET2	C1021,Lym79,Lym93	99.1513%	762	999	325	100.00%	100.00%	100.00%	100.00%	100.00%	93.82%	0.00%
ASCL4	C1021	22.9885%	402	503	262	100.00%	100.00%	100.00%	100.00%	100.00%	1.67%	0.00%
COL5A2	C1021,P1021	74.0741%	499	579	378	100.00%	100.00%	100.00%	100.00%	100.00%	54.17%	0.00%
COL5A3	C1021,P1021	93.3333%	585	663	497	100.00%	100.00%	100.00%	100.00%	100.00%	99.29%	0.00%
COL5A1	C1021,P1021	46.875%	437	512	343	100.00%	100.00%	100.00%	100.00%	100.00%	12.50%	0.00%
MTOR	C1021,E59,Lym79,Lym93,P1021,E73	100%	571	899	264	100.00%	100.00%	100.00%	100.00%	100.00%	71.16%	0.00%
ADAMTS5	C1021,P1021	10.8696%	390	466	260	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EP300	C1021,Lym79,Lym93	101.146%	655	909	310	100.00%	100.00%	100.00%	100.00%	100.00%	86.24%	0.00%
CNOT3	C1021,P1021	90.2256%	172	257	46	100.00%	100.00%	98.33%	75.83%	44.17%	0.00%	0.00%
KEL	C1021	67.7966%	343	429	255	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ITK	C1021,Lym79,Lym93	69.7674%	433	540	299	100.00%	100.00%	100.00%	100.00%	100.00%	20.83%	0.00%
SLC22A18	C1021	100%	396	479	281	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ARNT	C1021	56.0748%	482	582	338	100.00%	100.00%	100.00%	100.00%	100.00%	50.83%	0.00%
SLC22A16	C1021	50%	476	578	301	100.00%	100.00%	100.00%	100.00%	100.00%	50.83%	0.00%
BNC2	C1021	50.8475%	398	478	305	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
IRS1	NA	2.94985%	290	409	74	100.00%	100.00%	100.00%	94.55%	80.00%	0.00%	0.00%
IRS2	C1021,P1021	98.9793%	607	829	188	100.00%	100.00%	100.00%	100.00%	99.71%	77.07%	0.00%
KEAP1	C1021,P1021	100%	598	797	322	100.00%	100.00%	100.00%	100.00%	100.00%	87.77%	0.00%
HOXA3	C1021	22.8137%	334	397	232	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
RAD52	NA	98.0111%	516	732	325	100.00%	100.00%	100.00%	100.00%	100.00%	51.05%	0.00%
CDK6	C1021,DB16,E59,P1021,E73	100%	560	779	257	100.00%	100.00%	100.00%	100.00%	100.00%	77.94%	0.00%
RAD50	C1021,H62,HB23,FC59,FH44,H68,HBO28,MC58,MH43,H54	99.9492%	552	744	263	100.00%	100.00%	100.00%	100.00%	100.00%	72.59%	0.00%
CDK8	C1021,P1021	100%	515	797	279	100.00%	100.00%	100.00%	100.00%	100.00%	61.86%	0.00%
SEMA3E	C1021	53.8117%	452	547	335	100.00%	100.00%	100.00%	100.00%	100.00%	25.83%	0.00%
OR4C6	C1021,P1021	12.9032%	446	553	326	100.00%	100.00%	100.00%	100.00%	100.00%	31.67%	0.00%
IGLL5	C1021	37.5%	488	590	357	100.00%	100.00%	100.00%	100.00%	100.00%	41.67%	0.00%
HOXA9	C1021	50.2092%	370	448	269	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
USP8	C1021	100%	540	678	250	100.00%	100.00%	100.00%	100.00%	100.00%	76.30%	0.00%
NCAM2	C1021	68.9655%	440	523	296	100.00%	100.00%	100.00%	100.00%	100.00%	17.50%	0.00%
TGFBR2	C1021	98.7071%	575	763	240	100.00%	100.00%	100.00%	100.00%	100.00%	81.80%	0.00%
ERCC1	C1021,P1021	100%	444	669	248	100.00%	100.00%	100.00%	100.00%	100.00%	26.14%	0.00%
MSH2	C1021,DC16,E59,P1021,E73,C1021,H41,H62,HB23,HD31,HG15,HP16,FC59,FH44,H68,HBO28,HC22,HD32,HR14,LS5,MC58,MH43,H54	100%	640	917	240	100.00%	100.00%	100.00%	100.00%	100.00%	92.02%	0.00%
MSH3	C1021,P1021,C1021,H62,HD31,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	100%	574	945	236	100.00%	100.00%	100.00%	100.00%	100.00%	69.81%	0.00%
MSH4	C1021	68.5714%	346	393	276	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
TGFBR1	C1021	78.2332%	559	734	269	100.00%	100.00%	100.00%	100.00%	100.00%	72.02%	0.00%
USP6	C1021	68.5714%	384	482	278	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ZMAT3	C1021	100%	609	728	346	100.00%	100.00%	100.00%	100.00%	100.00%	94.86%	0.00%
EZH2	C1021,Lym79,Lym93,P1021	99.9557%	506	752	254	100.00%	100.00%	100.00%	100.00%	100.00%	52.46%	0.00%
MCL1	C1021,P1021	134.283%	713	1018	371	100.00%	100.00%	100.00%	100.00%	100.00%	95.45%	2.27%
SOX2	C1021	100%	610	738	359	100.00%	100.00%	100.00%	100.00%	100.00%	87.33%	0.00%
BBC3	NA	56.2347%	380	497	215	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
EPC1	C1021	57.971%	479	588	302	100.00%	100.00%	100.00%	100.00%	100.00%	42.50%	0.00%
SMARCA4	C1021,E59,Lym93,P1021,E73,FC59,FH44,H68,HBO28,MC58,MH43	98.3075%	554	851	234	100.00%	100.00%	100.00%	100.00%	100.00%	72.91%	0.00%
TENM3	C1021	7.44417%	429	511	325	100.00%	100.00%	100.00%	100.00%	100.00%	2.50%	0.00%
SEMA6A	C1021,P1021	100%	363	457	253	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
LPHN2	C1021	95.2381%	413	462	340	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
CEBPA	C1021	87.3723%	460	628	258	100.00%	100.00%	100.00%	100.00%	100.00%	35.03%	0.00%
CCDC168	C1021	0.573121%	374	454	274	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
ARAP3	C1021	60%	389	472	289	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
AXIN2	C1021,H62,HD31,FC59,FH44,H68,HC22,HD32,MC58,MH43,H54	99.7235%	634	833	377	100.00%	100.00%	100.00%	100.00%	100.00%	90.41%	0.00%
RAD54B	C1021	42.5532%	422	524	270	100.00%	100.00%	100.00%	100.00%	100.00%	16.67%	0.00%
CASQ2	C1021,P1021	59.1398%	457	527	354	100.00%	100.00%	100.00%	100.00%	100.00%	21.62%	0.00%
RAD54L	NA	100%	584	756	291	100.00%	100.00%	100.00%	100.00%	100.00%	83.33%	0.00%
SMAD3	C1021	100%	489	635	253	100.00%	100.00%	100.00%	100.00%	100.00%	52.68%	0.00%
FYN	C1021	66.6667%	457	566	321	100.00%	100.00%	100.00%	100.00%	100.00%	27.50%	0.00%
RB1	C1021,DB16,E59,Lym93,P1021,E73,H62,H68	110.98%	572	837	20	100.00%	99.79%	97.18%	97.18%	95.17%	80.23%	0.00%
MDM4	C1021,P1021	100%	630	934	361	100.00%	100.00%	100.00%	100.00%	100.00%	76.13%	0.00%
HSPD1	C1021,P1021	68.9655%	441	539	315	100.00%	100.00%	100.00%	100.00%	100.00%	20.00%	0.00%
ABCB1	C1021	68.0036%	437	629	242	100.00%	100.00%	100.00%	100.00%	100.00%	35.09%	0.00%
ANK3	C1021	64.5161%	463	593	285	100.00%	100.00%	100.00%	100.00%	100.00%	42.50%	0.00%
NOD1	C1021	59.7015%	358	430	248	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	0.00%
AURKA	C1021,P1021	104.538%	608	764	353	100.00%	100.00%	100.00%	100.00%	100.00%	94.02%	0.00%
AURKB	C1021,P1021	100%	611	775	328	100.00%	100.00%	100.00%	100.00%	100.00%	89.17%	0.00%
